Timestamp,Alloc(MiB),TotalAlloc(MiB),Sys(MiB),NumGC
%!s(int64=1732408719),2831856,2831856,12032104,0
%!s(int64=1732408720),2831984,2831984,12032104,0
%!s(int64=1732408720),2832112,2832112,12032104,0
%!s(int64=1732408720),2836336,2836336,12032104,0
%!s(int64=1732408720),2836464,2836464,12032104,0
%!s(int64=1732408720),2836592,2836592,12032104,0
%!s(int64=1732408720),2836720,2836720,12032104,0
%!s(int64=1732408720),2836848,2836848,12032104,0
%!s(int64=1732408720),2836976,2836976,12032104,0
%!s(int64=1732408720),2837104,2837104,12032104,0
%!s(int64=1732408720),2837232,2837232,12032104,0
%!s(int64=1732408721),2837360,2837360,12032104,0
%!s(int64=1732408721),2837488,2837488,12032104,0
%!s(int64=1732408721),2837616,2837616,12032104,0
%!s(int64=1732408721),2837744,2837744,12032104,0
%!s(int64=1732408721),2837872,2837872,12032104,0
%!s(int64=1732408721),2838000,2838000,12032104,0
%!s(int64=1732408721),2838128,2838128,12032104,0
%!s(int64=1732408721),2838256,2838256,12032104,0
%!s(int64=1732408721),2838384,2838384,12032104,0
%!s(int64=1732408721),2838512,2838512,12032104,0
%!s(int64=1732408722),2838640,2838640,12032104,0
%!s(int64=1732408722),2838768,2838768,12032104,0
%!s(int64=1732408722),2838896,2838896,12032104,0
%!s(int64=1732408722),2839024,2839024,12032104,0
%!s(int64=1732408722),2839152,2839152,12032104,0
%!s(int64=1732408722),2839280,2839280,12032104,0
%!s(int64=1732408722),2839408,2839408,12032104,0
